iter	Passed	Remaining
455	960	1146
456	962	1143
457	963	1140
458	964	1137
459	966	1134
460	967	1131
461	971	1130
462	972	1128
463	973	1125
464	975	1122
465	976	1119
466	978	1116
467	979	1113
468	980	1110
469	982	1107
470	985	1106
471	987	1104
472	989	1101
473	990	1099
474	992	1097
475	994	1094
476	995	1091
477	997	1089
478	1000	1088
479	1002	1085
480	1003	1082
481	1005	1080
482	1006	1077
483	1008	1074
484	1010	1072
485	1012	1070
486	1013	1067
487	1016	1066
488	1019	1065
489	1021	1062
490	1023	1060
491	1025	1058
492	1026	1055
493	1030	1055
494	1032	1052
495	1033	1050
496	1042	1054
497	1046	1054
498	1048	1052
499	1049	1049
500	1051	1047
501	1054	1045
502	1056	1044
503	1058	1042
504	1061	1040
505	1062	1037
506	1065	1035
507	1067	1033
508	1069	1031
509	1071	1029
510	1087	1041
511	1093	1042
512	1095	1040
513	1097	1037
514	1099	1035
515	1104	1035
516	1107	1035
517	1109	1032
518	1127	1044
519	1129	1042
520	1131	1039
521	1133	1037
522	1135	1035
523	1136	1032
524	1140	1031
525	1142	1029
526	1144	1027
527	1146	1024
528	1148	1022
529	1150	1020
530	1154	1019
531	1157	1018
532	1176	1030
533	1178	1028
534	1180	1026
535	1182	1023
536	1185	1021
537	1186	1019
538	1188	1016
539	1190	1014
540	1204	1022
541	1206	1019
542	1208	1017
543	1210	1014
544	1211	1011
545	1215	1010
546	1217	1008
547	1219	1005
548	1221	1003
549	1223	1000
550	1225	998
551	1230	999
552	1233	996
553	1234	994
554	1236	991
555	1238	989
556	1246	991
557	1248	989
558	1254	989
559	1256	986
560	1258	984
561	1260	982
562	1262	980
563	1265	978
564	1267	976
565	1269	973
566	1271	970
567	1273	968
568	1277	967
569	1279	964
570	1284	965
571	1296	970
572	1299	968
573	1303	967
574	1307	966
575	1309	964
576	1312	962
577	1314	959
578	1316	957
579	1319	955
580	1323	954
581	1326	952
582	1328	950
583	1331	948
584	1342	952
585	1344	949
586	1347	947
587	1349	945
588	1358	947
589	1360	945
590	1361	942
591	1363	939
592	1365	937
593	1367	934
594	1370	932
595	1372	930
596	1375	928
597	1377	926
598	1386	928
599	1389	926
600	1391	923
601	1393	921
602	1394	918
603	1396	915
604	1398	913
605	1402	911
606	1404	909
607	1405	906
608	1408	904
609	1410	901
610	1412	899
611	1414	896
612	1418	895
613	1420	893
614	1424	891
615	1426	889
616	1428	886
617	1430	884
618	1434	882
619	1436	880
620	1439	878
621	1440	875
622	1443	873
623	1445	871
624	1449	869
625	1451	867
626	1453	864
627	1454	861
628	1456	859
629	1458	856
630	1460	854
631	1464	852
632	1466	850
633	1468	847
634	1470	844
635	1471	842
636	1473	839
637	1475	837
638	1479	835
639	1481	833
640	1484	831
641	1486	828
642	1487	826
643	1489	823
644	1494	822
645	1496	820
646	1498	817
647	1500	814
648	1501	812
649	1503	809
650	1505	807
651	1507	804
652	1511	803
653	1513	800
654	1515	798
655	1518	796
656	1520	793
657	1522	791
658	1526	789
659	1528	787
660	1529	784
661	1531	782
662	1533	779
663	1536	777
664	1537	774
665	1541	772
666	1543	770
667	1544	767
668	1546	765
669	1548	762
670	1550	760
671	1552	757
672	1556	756
673	1558	754
674	1560	751
675	1562	748
676	1564	746
677	1566	743
678	1568	741
679	1571	739
680	1573	737
681	1575	734
682	1578	732
683	1580	730
684	1584	728
685	1586	726
686	1588	723
687	1590	721
688	1592	718
689	1594	716
690	1596	714
691	1606	715
692	1608	712
693	1610	710
694	1616	709
695	1619	707
696	1621	704
697	1623	702
698	1625	700
699	1630	698
700	1632	696
701	1634	693
702	1636	691
703	1638	688
704	1640	686
705	1642	683
706	1646	682
707	1648	679
708	1650	677
709	1652	674
710	1654	672
711	1655	669
712	1657	667
713	1661	665
714	1663	663
715	1665	660
716	1666	657
717	1668	655
718	1670	652
719	1671	650
720	1673	647
721	1676	645
722	1678	643
723	1680	640
724	1682	638
725	1684	635
726	1686	633
727	1688	630
728	1691	628
729	1694	626
730	1696	624
731	1697	621
732	1699	619
733	1701	616
734	1704	614
735	1708	612
736	1710	610
737	1711	607
738	1713	605
739	1715	602
740	1718	600
741	1720	598
742	1723	596
743	1725	593
744	1727	591
745	1729	588
746	1731	586
747	1733	583
748	1734	581
749	1739	579
750	1741	577
751	1742	574
752	1744	572
753	1746	569
754	1748	567
755	1749	564
756	1751	562
757	1754	560
758	1756	557
759	1758	555
760	1760	552
761	1762	550
762	1764	548
763	1766	545
764	1770	543
765	1772	541
766	1774	539
767	1776	536
768	1782	535
769	1787	533
770	1789	531
771	1792	529
772	1793	526
773	1795	524
774	1797	521
775	1800	519
776	1802	517
777	1804	514
778	1808	513
779	1810	510
780	1812	508
781	1816	506
782	1820	504
783	1822	502
784	1824	499
785	1825	497
786	1827	494
787	1830	492
788	1833	490
789	1835	487
790	1836	485
791	1838	482
792	1840	480
793	1841	477
794	1842	475
795	1844	472
796	1847	470
797	1849	468
798	1850	465
799	1852	463
800	1853	460
801	1855	457
802	1856	455
803	1857	452
804	1859	450
805	1861	448
806	1863	445
807	1866	443
808	1867	440
809	1869	438
810	1870	435
811	1872	433
812	1876	431
813	1878	429
814	1880	426
815	1882	424
816	1883	421
817	1885	419
818	1887	417
819	1891	415
820	1893	412
821	1895	410
822	1897	407
823	1899	405
824	1901	403
825	1903	400
826	1906	398
827	1908	396
828	1910	394
829	1912	391
830	1914	389
831	1915	386
832	1917	384
833	1920	382
834	1923	380
835	1925	377
836	1927	375
837	1929	373
838	1931	370
839	1933	368
840	1935	365
841	1937	363
842	1938	361
843	1940	358
844	1942	356
845	1944	353
846	1947	351
847	1949	349
848	1951	347
849	1953	344
850	1955	342
851	1960	340
852	1965	338
853	1967	336
854	1968	333
855	1970	331
856	1972	329
857	1973	326
858	1975	324
859	1978	322
860	1980	319
861	1982	317
